transaction_id,sender_account,receiver_account,amount_inr,transaction_datetime,transaction_type,sender_bank,receiver_bank,status,remarks
31,ICIC_ACC_2001,UTIB_ACC_3001,211937,2024-01-10T20:53:00,NEFT,Axis,SBI,SUCCESS,Rapid movement
32,HDFC_ACC_1001,SBIN_ACC_3002,130802,2024-01-10T22:15:00,RTGS,HDFC,Axis,SUCCESS,Cash deposit suspicious
33,ICIC_ACC_2001,UTIB_ACC_3001,265615,2024-01-11T13:42:00,RTGS,SBI,SBI,SUCCESS,Rapid movement
34,HDFC_ACC_1001,SBIN_ACC_3002,172098,2024-01-11T04:11:00,NEFT,HDFC,SBI,SUCCESS,Cash deposit suspicious
35,HDFC_ACC_1001,SBIN_ACC_3002,524487,2024-01-12T05:16:00,NEFT,SBI,ICICI,SUCCESS,Multiple small deposits
36,UTIB_ACC_3001,ICIC_ACC_2001,425127,2024-01-12T14:52:00,NEFT,Axis,ICICI,SUCCESS,Interstate movement
37,HDFC_ACC_1001,ICIC_ACC_2001,187254,2024-01-12T21:24:00,RTGS,Axis,SBI,SUCCESS,Multiple transactions
38,ICIC_ACC_2001,UTIB_ACC_3001,238613,2024-01-12T23:26:00,UPI,HDFC,Axis,SUCCESS,Rapid movement
39,HDFC_ACC_1001,SBIN_ACC_3002,541724,2024-01-13T15:59:00,UPI,SBI,Axis,SUCCESS,Multiple small deposits
40,SBIN_ACC_3002,UTIB_ACC_3001,756308,2024-01-13T08:37:00,NEFT,Axis,SBI,SUCCESS,Cross-bank transfer
41,UTIB_ACC_3001,ICIC_ACC_2001,426078,2024-01-13T02:08:00,NEFT,ICICI,Axis,SUCCESS,Interstate movement
42,HDFC_ACC_1001,ICIC_ACC_2001,227342,2024-01-13T03:16:00,NEFT,ICICI,ICICI,SUCCESS,Multiple transactions
43,HDFC_ACC_1001,SBIN_ACC_3002,159369,2024-01-13T08:24:00,RTGS,HDFC,HDFC,SUCCESS,Cash deposit suspicious
44,SBIN_ACC_3002,UTIB_ACC_3001,766970,2024-01-14T18:01:00,IFT,SBI,HDFC,SUCCESS,Cross-bank transfer
45,UTIB_ACC_3001,ICIC_ACC_2001,444545,2024-01-14T19:25:00,IFT,Axis,ICICI,SUCCESS,Interstate movement
46,ICIC_ACC_2001,UTIB_ACC_3001,285939,2024-01-14T17:14:00,IFT,SBI,HDFC,SUCCESS,Rapid movement
47,HDFC_ACC_1001,SBIN_ACC_3002,157428,2024-01-14T13:15:00,RTGS,ICICI,SBI,SUCCESS,Cash deposit suspicious
48,HDFC_ACC_1001,SBIN_ACC_3002,458284,2024-01-15T07:57:00,NEFT,SBI,SBI,SUCCESS,Multiple small deposits
49,SBIN_ACC_3002,UTIB_ACC_3001,783816,2024-01-15T14:01:00,RTGS,Axis,ICICI,SUCCESS,Cross-bank transfer
50,UTIB_ACC_3001,ICIC_ACC_2001,425360,2024-01-15T00:09:00,IFT,HDFC,SBI,SUCCESS,Interstate movement
51,HDFC_ACC_1001,SBIN_ACC_3002,189177,2024-01-15T20:31:00,IFT,SBI,Axis,SUCCESS,Cash deposit suspicious
52,HDFC_ACC_1001,SBIN_ACC_3002,465035,2024-01-16T22:53:00,IFT,SBI,ICICI,SUCCESS,Multiple small deposits
53,SBIN_ACC_3002,UTIB_ACC_3001,708452,2024-01-16T23:58:00,IFT,SBI,SBI,SUCCESS,Cross-bank transfer
54,UTIB_ACC_3001,ICIC_ACC_2001,402017,2024-01-16T21:41:00,IFT,Axis,SBI,SUCCESS,Interstate movement
55,HDFC_ACC_1001,SBIN_ACC_3002,191852,2024-01-16T20:06:00,IFT,ICICI,ICICI,SUCCESS,Cash deposit suspicious
56,HDFC_ACC_1001,SBIN_ACC_3002,543223,2024-01-17T05:13:00,UPI,Axis,SBI,SUCCESS,Multiple small deposits
57,SBIN_ACC_3002,UTIB_ACC_3001,739744,2024-01-17T10:41:00,IFT,ICICI,Axis,SUCCESS,Cross-bank transfer
58,UTIB_ACC_3001,ICIC_ACC_2001,442320,2024-01-17T18:20:00,UPI,SBI,Axis,SUCCESS,Interstate movement
59,HDFC_ACC_1001,ICIC_ACC_2001,230648,2024-01-17T07:12:00,RTGS,Axis,Axis,SUCCESS,Multiple transactions
60,HDFC_ACC_1001,SBIN_ACC_3002,483122,2024-01-18T15:11:00,RTGS,ICICI,ICICI,SUCCESS,Multiple small deposits
61,SBIN_ACC_3002,UTIB_ACC_3001,721972,2024-01-18T01:42:00,RTGS,SBI,SBI,SUCCESS,Cross-bank transfer
62,UTIB_ACC_3001,ICIC_ACC_2001,443455,2024-01-18T22:44:00,NEFT,ICICI,ICICI,SUCCESS,Interstate movement
63,HDFC_ACC_1001,SBIN_ACC_3002,464411,2024-01-19T18:23:00,IFT,SBI,HDFC,SUCCESS,Multiple small deposits
64,UTIB_ACC_3001,ICIC_ACC_2001,366681,2024-01-19T03:37:00,IFT,SBI,HDFC,SUCCESS,Interstate movement
65,HDFC_ACC_1001,ICIC_ACC_2001,226827,2024-01-19T20:36:00,UPI,Axis,ICICI,SUCCESS,Multiple transactions
66,ICIC_ACC_2001,UTIB_ACC_3001,241013,2024-01-19T20:33:00,UPI,SBI,SBI,SUCCESS,Rapid movement
67,HDFC_ACC_1001,SBIN_ACC_3002,181522,2024-01-19T11:26:00,UPI,SBI,SBI,SUCCESS,Cash deposit suspicious
68,SBIN_ACC_3002,UTIB_ACC_3001,776768,2024-01-20T17:06:00,RTGS,SBI,SBI,SUCCESS,Cross-bank transfer
69,HDFC_ACC_1001,ICIC_ACC_2001,168337,2024-01-20T00:34:00,UPI,Axis,Axis,SUCCESS,Multiple transactions
70,HDFC_ACC_1001,SBIN_ACC_3002,168326,2024-01-20T21:17:00,UPI,ICICI,HDFC,SUCCESS,Cash deposit suspicious
71,UTIB_ACC_3001,ICIC_ACC_2001,359734,2024-01-21T14:34:00,UPI,ICICI,SBI,SUCCESS,Interstate movement
72,HDFC_ACC_1001,ICIC_ACC_2001,205488,2024-01-21T13:02:00,NEFT,Axis,ICICI,SUCCESS,Multiple transactions
73,ICIC_ACC_2001,UTIB_ACC_3001,263022,2024-01-21T08:15:00,NEFT,ICICI,HDFC,SUCCESS,Rapid movement
74,HDFC_ACC_1001,SBIN_ACC_3002,111836,2024-01-21T10:36:00,IFT,ICICI,HDFC,SUCCESS,Cash deposit suspicious
75,UTIB_ACC_3001,ICIC_ACC_2001,413184,2024-01-22T10:35:00,IFT,SBI,HDFC,SUCCESS,Interstate movement
76,HDFC_ACC_1001,SBIN_ACC_3002,118837,2024-01-22T19:04:00,IFT,Axis,Axis,SUCCESS,Cash deposit suspicious
77,SBIN_ACC_3002,UTIB_ACC_3001,771182,2024-01-23T12:35:00,RTGS,SBI,Axis,SUCCESS,Cross-bank transfer
78,ICIC_ACC_2001,UTIB_ACC_3001,291864,2024-01-23T21:16:00,RTGS,SBI,HDFC,SUCCESS,Rapid movement
79,HDFC_ACC_1001,SBIN_ACC_3002,100069,2024-01-23T14:33:00,UPI,SBI,ICICI,SUCCESS,Cash deposit suspicious
80,HDFC_ACC_1001,SBIN_ACC_3002,457802,2024-01-24T23:08:00,RTGS,SBI,SBI,SUCCESS,Multiple small deposits
81,SBIN_ACC_3002,UTIB_ACC_3001,709044,2024-01-24T10:39:00,NEFT,HDFC,ICICI,SUCCESS,Cross-bank transfer
82,UTIB_ACC_3001,ICIC_ACC_2001,403855,2024-01-24T07:47:00,RTGS,HDFC,Axis,SUCCESS,Interstate movement
83,HDFC_ACC_1001,ICIC_ACC_2001,179536,2024-01-24T20:56:00,NEFT,SBI,Axis,SUCCESS,Multiple transactions
84,SBIN_ACC_3002,UTIB_ACC_3001,741976,2024-01-25T19:56:00,RTGS,HDFC,SBI,SUCCESS,Cross-bank transfer
85,UTIB_ACC_3001,ICIC_ACC_2001,429633,2024-01-25T00:03:00,UPI,ICICI,SBI,SUCCESS,Interstate movement
86,ICIC_ACC_2001,UTIB_ACC_3001,259430,2024-01-25T06:54:00,NEFT,HDFC,Axis,SUCCESS,Rapid movement
87,HDFC_ACC_1001,SBIN_ACC_3002,456518,2024-01-26T10:08:00,NEFT,ICICI,HDFC,SUCCESS,Multiple small deposits
88,SBIN_ACC_3002,UTIB_ACC_3001,734097,2024-01-26T10:49:00,IFT,ICICI,HDFC,SUCCESS,Cross-bank transfer
89,HDFC_ACC_1001,ICIC_ACC_2001,162299,2024-01-26T23:32:00,UPI,HDFC,Axis,SUCCESS,Multiple transactions
90,ICIC_ACC_2001,UTIB_ACC_3001,255234,2024-01-26T19:34:00,IFT,ICICI,ICICI,SUCCESS,Rapid movement
91,HDFC_ACC_1001,SBIN_ACC_3002,125780,2024-01-26T03:57:00,UPI,HDFC,SBI,SUCCESS,Cash deposit suspicious
92,HDFC_ACC_1001,SBIN_ACC_3002,547297,2024-01-27T08:24:00,IFT,SBI,HDFC,SUCCESS,Multiple small deposits
93,UTIB_ACC_3001,ICIC_ACC_2001,388423,2024-01-27T09:12:00,IFT,Axis,Axis,SUCCESS,Interstate movement
94,HDFC_ACC_1001,ICIC_ACC_2001,192558,2024-01-27T16:35:00,IFT,SBI,ICICI,SUCCESS,Multiple transactions
95,ICIC_ACC_2001,UTIB_ACC_3001,256314,2024-01-27T13:45:00,IFT,ICICI,Axis,SUCCESS,Rapid movement
96,HDFC_ACC_1001,SBIN_ACC_3002,182037,2024-01-27T14:49:00,IFT,HDFC,SBI,SUCCESS,Cash deposit suspicious
97,HDFC_ACC_1001,SBIN_ACC_3002,536100,2024-01-28T09:45:00,NEFT,SBI,ICICI,SUCCESS,Multiple small deposits
98,UTIB_ACC_3001,ICIC_ACC_2001,443857,2024-01-28T07:19:00,RTGS,SBI,SBI,SUCCESS,Interstate movement
99,ICIC_ACC_2001,UTIB_ACC_3001,210928,2024-01-28T08:23:00,IFT,Axis,Axis,SUCCESS,Rapid movement
100,HDFC_ACC_1001,SBIN_ACC_3002,492779,2024-01-29T23:17:00,RTGS,HDFC,SBI,SUCCESS,Multiple small deposits
101,UTIB_ACC_3001,ICIC_ACC_2001,404321,2024-01-29T22:36:00,UPI,HDFC,HDFC,SUCCESS,Interstate movement
102,HDFC_ACC_1001,SBIN_ACC_3002,155457,2024-01-29T05:39:00,NEFT,Axis,Axis,SUCCESS,Cash deposit suspicious
103,SBIN_ACC_3002,UTIB_ACC_3001,773524,2024-01-30T11:48:00,IFT,SBI,SBI,SUCCESS,Cross-bank transfer
104,ICIC_ACC_2001,UTIB_ACC_3001,241102,2024-01-30T12:28:00,IFT,HDFC,SBI,SUCCESS,Rapid movement
105,HDFC_ACC_1001,SBIN_ACC_3002,148539,2024-01-30T22:45:00,UPI,Axis,SBI,SUCCESS,Cash deposit suspicious
